id,name_de,name_en,name_botanical,category_primary,category_secondary,tags,plant_family,water_needs,light_needs,soil_type,ph_min,ph_max,height_min_cm,height_max_cm,spacing_cm,container_suitable,indoor_suitable,difficulty_level,sowing_months,sowing_method,planting_months,harvest_months,perennial,days_to_germination_min,days_to_germination_max,days_to_harvest_min,days_to_harvest_max,good_neighbors,bad_neighbors,companion_score,watering_instructions,fertilizing_instructions,pruning_instructions,pest_control,special_care
onion_01,Zwiebel,Onion,Allium cepa,onion_family,bulb_vegetables,"beginner_friendly,storage_vegetable,pest_repellent",Amaryllidaceae,low,full_sun,sandy_loam,6.0,7.0,30,60,10,TRUE,FALSE,2,"2,3,4",indoor,"4,5","7,8,9",FALSE,7,14,90,120,"carrot_01,beetroot_01,strawberry_01,tomato_01,lettuce_01,cabbage_01,cucumber_01","bean_01,pea_01,asparagus_01",8,"Sparsam gießen, besonders wenn die Zwiebeln zu reifen beginnen. Zu viel Wasser kann zu Fäulnis führen.","Mäßig düngen. Zu viel Stickstoff führt zu üppigem Blattwuchs auf Kosten der Zwiebelbildung.","Nicht erforderlich.","Relativ unempfindlich gegen Schädlinge. Auf Zwiebelfliege achten. Kulturschutznetze können helfen.","Wenn das Laub umknickt und gelb wird, ist Erntezeit. Zwiebeln vor der Lagerung gut trocknen lassen."
leek_01,Lauch,Leek,Allium ampeloprasum,onion_family,bulb_vegetables,"winter_hardy,container_suitable,long_season",Amaryllidaceae,medium,full_sun,loamy,6.0,7.0,30,60,15,TRUE,FALSE,3,"2,3,4",indoor,"5,6,7","9,10,11,12,1,2,3",FALSE,10,20,120,180,"carrot_01,celery_01,strawberry_01,tomato_01,onion_01","bean_01,pea_01",7,"Regelmäßig gießen, besonders in Trockenperioden. Staunässe vermeiden.","Mäßig düngen. Vor der Pflanzung gut mit Kompost versorgen.","Nicht erforderlich. Für längere weiße Stangen während des Wachstums anhäufeln.","Auf Lauchfliege und Lauchrost achten. Kulturschutznetze können helfen.","Für längere weiße Stangen während des Wachstums mehrmals anhäufeln. Winterhart, kann auch bei leichtem Frost im Boden bleiben."
garlic_01,Knoblauch,Garlic,Allium sativum,onion_family,bulb_vegetables,"beginner_friendly,pest_repellent,medicinal",Amaryllidaceae,low,full_sun,loamy,6.0,7.0,30,60,15,TRUE,FALSE,1,"10,11",outdoor,"3,4","6,7,8",FALSE,14,21,240,300,"strawberry_01,tomato_01,carrot_01,beetroot_01,raspberry_01","bean_01,pea_01,cabbage_01,potato_01",8,"Sparsam gießen. Zu viel Wasser kann zu Fäulnis führen. Vor der Ernte das Gießen einstellen.","Mäßig düngen. Zu viel Stickstoff führt zu üppigem Blattwuchs auf Kosten der Knollenbildung.","Blütenstände (Scapes) entfernen, um die Knollenbildung zu fördern.","Relativ unempfindlich gegen Schädlinge. Wirkt selbst als natürliches Pestizid.","Im Herbst pflanzen für Ernte im Sommer. Wenn das Laub zu 2/3 gelb ist, ist Erntezeit. Knoblauch vor der Lagerung gut trocknen lassen."
chives_01,Schnittlauch,Chives,Allium schoenoprasum,herbs,perennial_herbs,"beginner_friendly,container_suitable,perennial,edible_flowers",Amaryllidaceae,medium,full_sun,loamy,6.0,7.0,20,30,15,TRUE,TRUE,1,"3,4,5",both,"4,5","5,6,7,8,9,10",TRUE,7,14,60,90,"carrot_01,tomato_01,strawberry_01,apple_01,cucumber_01","bean_01,pea_01",8,"Regelmäßig gießen, aber Staunässe vermeiden.","Sparsam düngen, alle 4-6 Wochen mit Kräuterdünger.","Regelmäßig schneiden fördert neues Wachstum. Blütenstände entfernen, wenn keine Selbstaussaat gewünscht ist.","Relativ unempfindlich gegen Schädlinge. Wirkt selbst als natürliches Pestizid.","Mehrjährig, alle 3-4 Jahre teilen und neu pflanzen. Im Winter zieht die Pflanze ein, treibt im Frühjahr wieder aus."
parsley_01,Petersilie,Parsley,Petroselinum crispum,herbs,biennial_herbs,"beginner_friendly,container_suitable,vitamin_rich",Apiaceae,medium,partial_shade,loamy,6.0,7.0,20,30,15,TRUE,TRUE,2,"3,4,5,6,7,8",both,"4,5,6,7,8,9","5,6,7,8,9,10,11",FALSE,14,28,70,90,"tomato_01,asparagus_01,corn_01,carrot_01,onion_01","lettuce_01,mint_01",7,"Regelmäßig gießen, aber Staunässe vermeiden. Besonders in Trockenperioden auf gleichmäßige Feuchtigkeit achten.","Sparsam düngen, alle 4-6 Wochen mit Kräuterdünger.","Äußere Blätter ernten, um weiteres Wachstum zu fördern.","Auf Petersilienminierfliege achten. Kulturschutznetze können helfen.","Langsame Keimung, Samen vor der Aussaat 24 Stunden einweichen. Zweijährig, im zweiten Jahr bildet sie Blüten und Samen, dann neu aussäen."
dill_01,Dill,Dill,Anethum graveolens,herbs,annual_herbs,"beginner_friendly,container_suitable,beneficial_insects",Apiaceae,medium,full_sun,loamy,6.0,7.0,40,100,15,TRUE,FALSE,1,"4,5,6,7,8",outdoor,"","6,7,8,9",FALSE,7,14,40,60,"cucumber_01,cabbage_01,lettuce_01,onion_01,corn_01","carrot_01,tomato_01",6,"Regelmäßig gießen, aber Staunässe vermeiden.","Sparsam düngen. Zu viel Dünger führt zu weniger aromatischen Pflanzen.","Nicht erforderlich. Regelmäßig ernten fördert buschiges Wachstum.","Relativ unempfindlich gegen Schädlinge. Zieht nützliche Insekten an.","Schnell schossend, daher regelmäßig kleine Mengen aussäen für kontinuierliche Ernte. Selbstaussaat zulassen für nächstes Jahr."
mint_01,Minze,Mint,Mentha spp.,herbs,perennial_herbs,"beginner_friendly,container_suitable,invasive,medicinal",Lamiaceae,high,partial_shade,loamy,6.0,7.5,30,60,30,TRUE,TRUE,1,"4,5,6",both,"4,5,6","6,7,8,9,10",TRUE,10,15,60,90,"cabbage_01,tomato_01,pea_01,lettuce_01,broccoli_01","carrot_01,parsley_01",7,"Regelmäßig und reichlich gießen. Minze mag feuchte Böden.","Sparsam düngen, alle 4-6 Wochen mit Kräuterdünger.","Regelmäßig zurückschneiden fördert buschiges Wachstum und verhindert Ausbreitung.","Relativ unempfindlich gegen Schädlinge. Auf Minzkäfer und Rost achten.","Stark wuchernd, daher am besten in Töpfen oder mit Rhizomsperre pflanzen. Alle 2-3 Jahre teilen, um Vitalität zu erhalten."
thyme_01,Thymian,Thyme,Thymus vulgaris,herbs,perennial_herbs,"beginner_friendly,container_suitable,drought_resistant,medicinal",Lamiaceae,low,full_sun,sandy,6.0,8.0,20,30,20,TRUE,TRUE,1,"4,5",both,"4,5,6","6,7,8,9,10",TRUE,14,21,90,120,"strawberry_01,cabbage_01,tomato_01,eggplant_01,broccoli_01","basil_01,mint_01",8,"Sparsam gießen. Thymian bevorzugt trockene Bedingungen und verträgt Trockenheit gut.","Kaum Düngung nötig. Zu viel Dünger führt zu weniger aromatischen Pflanzen.","Nach der Blüte zurückschneiden, um kompaktes Wachstum zu fördern.","Relativ unempfindlich gegen Schädlinge. Bei feuchten Bedingungen auf Mehltau achten.","Mehrjährig, alle 3-4 Jahre teilen und neu pflanzen. Bevorzugt sonnige, trockene Standorte mit durchlässigem Boden."
rosemary_01,Rosmarin,Rosemary,Salvia rosmarinus,herbs,perennial_herbs,"beginner_friendly,container_suitable,drought_resistant,medicinal",Lamiaceae,low,full_sun,sandy,6.0,7.5,60,150,40,TRUE,TRUE,2,"3,4,5",indoor,"5,6","6,7,8,9,10,11,12",TRUE,14,21,180,365,"sage_01,cabbage_01,carrot_01,bean_01,thyme_01","basil_01,mint_01",7,"Sparsam gießen. Rosmarin bevorzugt trockene Bedingungen und verträgt Trockenheit gut. Staunässe unbedingt vermeiden.","Kaum Düngung nötig. Zu viel Dünger führt zu weniger aromatischen Pflanzen.","Regelmäßig leicht zurückschneiden, um kompaktes Wachstum zu fördern. Nicht ins alte Holz schneiden.","Relativ unempfindlich gegen Schädlinge. Bei feuchten Bedingungen auf Mehltau achten.","In kälteren Regionen nicht winterhart, daher im Topf kultivieren und frostfrei überwintern. Bevorzugt sonnige, trockene Standorte mit durchlässigem Boden."
sage_01,Salbei,Sage,Salvia officinalis,herbs,perennial_herbs,"beginner_friendly,container_suitable,drought_resistant,medicinal",Lamiaceae,low,full_sun,sandy,6.0,7.0,40,60,30,TRUE,TRUE,1,"4,5",both,"5,6","6,7,8,9,10",TRUE,14,21,90,120,"rosemary_01,cabbage_01,carrot_01,strawberry_01,thyme_01","cucumber_01,basil_01",7,"Sparsam gießen. Salbei bevorzugt trockene Bedingungen und verträgt Trockenheit gut. Staunässe unbedingt vermeiden.","Kaum Düngung nötig. Zu viel Dünger führt zu weniger aromatischen Pflanzen.","Nach der Blüte zurückschneiden, um kompaktes Wachstum zu fördern. Alle 3-4 Jahre stark zurückschneiden zur Verjüngung.","Relativ unempfindlich gegen Schädlinge. Bei feuchten Bedingungen auf Mehltau achten.","Mehrjährig, alle 3-4 Jahre teilen und neu pflanzen. Bevorzugt sonnige, trockene Standorte mit durchlässigem Boden."
strawberry_01,Erdbeere,Strawberry,Fragaria × ananassa,fruits,berries,"beginner_friendly,container_suitable,children_friendly",Rosaceae,medium,full_sun,loamy,5.5,6.5,15,30,30,TRUE,TRUE,2,"4,5",both,"4,5","6,7,8",TRUE,14,21,60,90,"lettuce_01,spinach_01,onion_01,garlic_01,thyme_01,sage_01","cabbage_01,cauliflower_01,broccoli_01",8,"Regelmäßig gießen, besonders während der Fruchtbildung. Staunässe vermeiden.","Vor der Pflanzung gut mit Kompost versorgen. Im Frühjahr mit Beerendünger nachdüngen.","Ausläufer entfernen, wenn keine Vermehrung gewünscht ist. Nach der Ernte Laub zurückschneiden für bessere Luftzirkulation.","Auf Grauschimmel und Schnecken achten. Stroh unterlegen, um Früchte trocken zu halten.","Alle 3 Jahre neu pflanzen für optimalen Ertrag. Früchte ernten, wenn vollständig rot. Stroh unterlegen, um Früchte sauber zu halten."
raspberry_01,Himbeere,Raspberry,Rubus idaeus,fruits,berries,"container_suitable,perennial,vitamin_rich",Rosaceae,medium,full_sun,loamy,5.5,6.5,100,200,50,TRUE,FALSE,3,"10,11,3,4",outdoor,"10,11,3,4","6,7,8,9",TRUE,14,21,365,730,"garlic_01,onion_01,spinach_01,lettuce_01,pea_01","tomato_01,potato_01,eggplant_01",7,"Regelmäßig gießen, besonders während der Fruchtbildung. Staunässe vermeiden.","Vor der Pflanzung gut mit Kompost versorgen. Im Frühjahr mit Beerendünger nachdüngen.","Sommerhimbeeren: Nach der Ernte abgetragene Ruten entfernen. Herbsthimbeeren: Im Winter alle Ruten bodennah abschneiden.","Auf Himbeerkäfer und Rutenkrankheiten achten. Gute Luftzirkulation fördern.","Rankhilfe anbieten. Sommerhimbeeren tragen an zweijährigen, Herbsthimbeeren an einjährigen Ruten. Regelmäßig ernten, reife Früchte fallen leicht ab."
blueberry_01,Heidelbeere,Blueberry,Vaccinium corymbosum,fruits,berries,"container_suitable,perennial,acid_loving",Ericaceae,medium,partial_shade,acidic,4.5,5.5,100,150,100,TRUE,FALSE,4,"10,11,3,4",outdoor,"10,11,3,4","7,8,9",TRUE,21,28,730,1095,"strawberry_01,raspberry_01,rhododendron_01,azalea_01,pine_01","cabbage_01,tomato_01,pepper_01",6,"Regelmäßig gießen, besonders während der Fruchtbildung. Staunässe vermeiden. Nur mit Regenwasser oder angesäuertem Wasser gießen.","Speziellen Rhododendron- oder Heidelbeerdünger verwenden. Normale Gartendünger vermeiden.","Jährlich auslichten, alte und schwache Triebe entfernen. Alle 5-6 Jahre stärker verjüngen.","Relativ unempfindlich gegen Schädlinge. Auf Vögel achten, eventuell mit Netzen schützen.","Benötigt sauren Boden (pH 4,5-5,5). In Kübeln mit Rhododendronerde kultivieren. Mindestens zwei verschiedene Sorten für bessere Befruchtung pflanzen."
currant_01,Johannisbeere,Currant,Ribes rubrum,fruits,berries,"beginner_friendly,container_suitable,vitamin_rich",Grossulariaceae,medium,partial_shade,loamy,6.0,7.0,100,150,100,TRUE,FALSE,2,"10,11,3,4",outdoor,"10,11,3,4","7,8",TRUE,14,21,365,730,"strawberry_01,raspberry_01,garlic_01,onion_01,tomato_01","cucumber_01,zucchini_01",7,"Regelmäßig gießen, besonders während der Fruchtbildung. Staunässe vermeiden.","Vor der Pflanzung gut mit Kompost versorgen. Im Frühjahr mit Beerendünger nachdüngen.","Jährlich auslichten, alte und schwache Triebe entfernen. Alle 5-6 Jahre stärker verjüngen.","Auf Johannisbeerblasenlaus und Mehltau achten. Gute Luftzirkulation fördern.","Früchte in Trauben ernten, wenn vollständig ausgefärbt. Rote und weiße Sorten sind süßer als schwarze, letztere haben mehr Vitamin C."
beetroot_01,Rote Bete,Beetroot,Beta vulgaris subsp. vulgaris,root_vegetables,beets,"beginner_friendly,container_suitable,vitamin_rich",Amaranthaceae,medium,full_sun,loamy,6.0,7.0,30,50,10,TRUE,FALSE,2,"4,5,6,7",outdoor,"","6,7,8,9,10",FALSE,7,14,50,70,"onion_01,garlic_01,cabbage_01,lettuce_01,kohlrabi_01","spinach_01,tomato_01,bean_01,potato_01",6,"Regelmäßig gießen, besonders in Trockenperioden. Staunässe vermeiden.","Mäßig düngen. Zu viel Stickstoff führt zu üppigem Blattwuchs auf Kosten der Knolle.","Nicht erforderlich. Bei zu dichtem Stand ausdünnen.","Relativ unempfindlich gegen Schädlinge. Auf Blattläuse und Rübenfliege achten.","Junge Blätter können wie Spinat verwendet werden. Knollen ernten, wenn sie die gewünschte Größe erreicht haben, etwa tennisballgroß."
kohlrabi_01,Kohlrabi,Kohlrabi,Brassica oleracea var. gongylodes,brassicas,stem_vegetables,"beginner_friendly,container_suitable,cool_season",Brassicaceae,medium,full_sun,loamy,6.0,7.0,30,40,20,TRUE,FALSE,2,"3,4,5,7,8",both,"4,5,6,8,9","5,6,7,9,10,11",FALSE,5,10,40,60,"beetroot_01,lettuce_01,spinach_01,onion_01,cucumber_01","strawberry_01,tomato_01,bean_01",6,"Regelmäßig gießen, besonders in Trockenperioden. Ungleichmäßige Bewässerung kann zu Rissen führen.","Mäßig düngen. Zu viel Stickstoff führt zu üppigem Blattwuchs auf Kosten der Knolle.","Nicht erforderlich. Untere Blätter bei Bedarf entfernen.","Auf Kohlweißling, Erdflöhe und Kohlhernie achten. Kulturschutznetze können helfen.","Ernten, wenn die Knollen etwa faustgroß sind. Bei zu später Ernte werden sie holzig. Für Herbsternte im Sommer aussäen."
cabbage_01,Weißkohl,Cabbage,Brassica oleracea var. capitata,brassicas,head_vegetables,"beginner_friendly,storage_vegetable,vitamin_rich",Brassicaceae,medium,full_sun,loamy,6.0,7.0,40,60,50,TRUE,FALSE,3,"3,4,5",indoor,"5,6","9,10,11",FALSE,5,10,90,120,"beetroot_01,lettuce_01,spinach_01,onion_01,carrot_01,potato_01,dill_01","strawberry_01,tomato_01,bean_01",7,"Regelmäßig gießen, besonders in Trockenperioden. Staunässe vermeiden.","Mäßig düngen. Vor der Pflanzung gut mit Kompost versorgen.","Nicht erforderlich. Untere Blätter bei Bedarf entfernen.","Auf Kohlweißling, Erdflöhe und Kohlhernie achten. Kulturschutznetze können helfen.","Ernten, wenn die Köpfe fest sind. Frostverträglich, kann bis in den Winter im Beet bleiben. Gut lagerfähig."
broccoli_01,Brokkoli,Broccoli,Brassica oleracea var. italica,brassicas,flower_vegetables,"beginner_friendly,container_suitable,vitamin_rich",Brassicaceae,medium,full_sun,loamy,6.0,7.0,60,90,40,TRUE,FALSE,3,"3,4,5,7,8",indoor,"4,5,6,8,9","6,7,8,10,11",FALSE,5,10,60,90,"beetroot_01,lettuce_01,spinach_01,onion_01,carrot_01,potato_01,dill_01","strawberry_01,tomato_01,bean_01",7,"Regelmäßig gießen, besonders in Trockenperioden. Staunässe vermeiden.","Mäßig düngen. Vor der Pflanzung gut mit Kompost versorgen.","Nicht erforderlich. Hauptblütenstand ernten, dann bilden sich Seitentriebe mit kleineren Röschen.","Auf Kohlweißling, Erdflöhe und Kohlhernie achten. Kulturschutznetze können helfen.","Ernten, bevor sich die Blütenknospen öffnen. Nach der Ernte des Hauptkopfes bilden sich Seitentriebe, die ebenfalls geerntet werden können."
cauliflower_01,Blumenkohl,Cauliflower,Brassica oleracea var. botrytis,brassicas,flower_vegetables,"container_suitable,vitamin_rich,cool_season",Brassicaceae,medium,full_sun,loamy,6.0,7.0,60,80,60,TRUE,FALSE,4,"3,4,5,7,8",indoor,"4,5,6,8,9","6,7,8,10,11",FALSE,5,10,70,100,"beetroot_01,lettuce_01,spinach_01,onion_01,carrot_01,potato_01,dill_01","strawberry_01,tomato_01,bean_01",6,"Regelmäßig gießen, besonders in Trockenperioden. Staunässe vermeiden.","Mäßig düngen. Vor der Pflanzung gut mit Kompost versorgen.","Nicht erforderlich. Blätter über dem Kopf zusammenbinden, um ihn vor Sonne zu schützen und weiß zu halten.","Auf Kohlweißling, Erdflöhe und Kohlhernie achten. Kulturschutznetze können helfen.","Ernten, wenn der Kopf fest ist, aber bevor sich die Röschen trennen. Blätter über dem Kopf zusammenbinden, um ihn vor Sonne zu schützen und weiß zu halten."
kale_01,Grünkohl,Kale,Brassica oleracea var. sabellica,brassicas,leafy_vegetables,"beginner_friendly,winter_hardy,vitamin_rich",Brassicaceae,medium,full_sun,loamy,6.0,7.0,60,90,40,TRUE,FALSE,2,"5,6,7",indoor,"6,7,8","9,10,11,12,1,2",FALSE,5,10,60,90,"beetroot_01,lettuce_01,spinach_01,onion_01,carrot_01,potato_01,dill_01","strawberry_01,tomato_01,bean_01",8,"Regelmäßig gießen, besonders in Trockenperioden. Staunässe vermeiden.","Mäßig düngen. Vor der Pflanzung gut mit Kompost versorgen.","Nicht erforderlich. Untere Blätter bei Bedarf entfernen.","Auf Kohlweißling, Erdflöhe und Kohlhernie achten. Kulturschutznetze können helfen.","Sehr frosthart, Geschmack verbessert sich nach Frost. Kontinuierlich äußere Blätter ernten oder ganze Pflanze. Gut für Winterernte."
